Title,Date,Time,Venue,Price,Description,URL
"Kaleigh Baker","2025-08-18","19:00","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/kaleigh-baker-7/"
"Indie 900 Jam","2025-08-19","21:30","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/indie-900-jam-4/"
"Hard Swingin' Country Soiree with Decker & Dimitrov","2025-08-20","19:00","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/hard-swingin-country-soiree-with-decker-dimitrov-3/"
"Official Unofficial &quot;Best Of&quot; Orlando Weekly Party and Award Pick-Up","2025-08-20","19:00","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/official-unofficial-best-of-orlando-weekly-party-and-award-pick-up/"
"Nesto's Jazz Trio","2025-08-20","22:00","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/nestos-jazz-trio-3/"
"GODS. with Here Here and mode.","2025-08-21","19:00","Will's Pub","$17.17","Live music event at Will's Pub","https://willspub.org/tm-event/gods-with-here-here-and-mode/"
"Thursday Thinks Trivia","2025-08-21","19:30","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/thursday-thinks-trivia-7/"
"Baron Von Yeti","2025-08-21","22:30","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/baron-von-yeti-7/"
"Alphabet Aces","2025-08-22","20:00","Will's Pub","$16.44","Live music event at Will's Pub","https://willspub.org/tm-event/alphabet-aces/"
"DJ BMF","2025-08-22","22:00","Will's Pub","$0.00","Live music event at Will's Pub","https://willspub.org/tm-event/dj-bmf-9/"
